,questions,answers
232,Do I get new books for free if I buy the super bundle?,"Извините, новые книги не входят в ваш супер-набор.
Я выпускаю новые книги каждые несколько месяцев и в это время разрабатываю новый суперпакет.
Все существующие клиенты получат ранний доступ к новым книгам по сниженной цене.
Обратите внимание, что вы получаете бесплатные обновления для всех книг в вашем супер-наборе. Сюда входят исправления ошибок, изменения API и иногда даже новые главы. Я отправляю клиентам электронные письма о крупных обновлениях книг, или вы можете связаться со мной в любое время и попросить последнюю версию книги."
233,Do I need to be a good programmer?,"Нет.
У меня есть книги, которые не требуют навыков программирования, например:

Мастерство машинного обучения с Weka
Освойте алгоритмы машинного обучения

В других книгах есть примеры кода на данном языке программирования.
Вы должны знать основы языка программирования, например, как установить среду и как писать простые программы. Я не преподаю программирование, я преподаю машинное обучение для разработчиков.
Необязательно быть хорошим программистом.
При этом я предлагаю учебные пособия по эффективной настройке вашей среды и даже ускоренные курсы по языкам программирования для разработчиков, которые могут быть не знакомы с данным языком."
234,Do you cover the theory and derivations?,"Нет.
Мои книги не охватывают теорию или выводы методов машинного обучения.
Это сделано намеренно.
Мои книги посвящены практическим аспектам прикладного машинного обучения. В частности, как работают алгоритмы и как их эффективно использовать с современными инструментами с открытым исходным кодом.
Если вас интересует теория и выводы уравнений, я рекомендую учебник по машинному обучению. Вот несколько хороших примеров учебников по машинному обучению, посвященных теории:

Элементы статистического обучения
Машинное обучение: вероятностная перспектива
Распознавание образов и машинное обучение"
235,"Do you have any sales, deals, or coupons?","Я вообще не занимаюсь продажами.
Если у меня есть что-то особенное, например, в связи с выпуском новой книги, я предлагаю ее только прошлым клиентам и подписчикам из моего списка рассылки.
Я предлагаю наборы книг, которые предлагают скидку на коллекцию родственных книг.
Я предлагаю скидки студентам, учителям и пенсионерам. Свяжитесь со мной, чтобы узнать о скидках."
236,Do you have videos?,"Извините, у меня нет видео.
У меня есть только учебные уроки и проекты в текстовом формате.
Это сделано намеренно. Раньше у меня был видеоконтент, и я обнаружил, что процент завершения намного ниже.
Я хочу, чтобы вы применили материал на практике. Я обнаружил, что текстовые учебники - лучший способ добиться этого. С текстовыми учебниками вы должны прочитать, реализовать и запустить код.
С видео вы пассивно смотрите и от вас не требуется никаких действий. Видео - это развлечение или информационно-развлекательная система, а не продуктивное обучение и работа.
После прочтения и работы с учебными пособиями у вас гораздо больше шансов использовать то, что вы узнали."
237,Do you offer a guarantee?,"Да, я предлагаю 90-дневную гарантию возврата денег без вопросов.
Я стою за своими книгами. Они содержат мои лучшие знания по конкретной теме машинного обучения, а также каждую книгу, прочитанную, протестированную и используемую десятками тысяч читателей.
Тем не менее, если вы обнаружите, что одна из моих электронных книг вам не подходит, я верну вам деньги."
238,Do you ship to my country?,"Нет бумажных книг, поэтому доставка не требуется.
Все книги представляют собой электронные книги, которые вы можете скачать сразу после совершения покупки.
Я поддерживаю покупки из любой страны через PayPal или кредитную карту."
239,Do you support TensorFlow 2?,"Да.
Я рекомендую использовать автономный Keras версии 2.4 (или выше), работающий поверх TensorFlow версии 2.2 (или выше).
Все руководства в блоге были обновлены для использования автономных Keras, работающих поверх Tensorflow 2.
Все книги были обновлены, чтобы использовать эту же комбинацию.
Я пока не рекомендую использовать Keras как часть TensorFlow 2 (например, tf.keras). Это слишком ново, у новых вещей есть проблемы, и я жду, пока осядет пыль. Автономный Keras работает годами и продолжает работать очень хорошо.
Есть один случай учебников, которые не поддерживают TensorFlow 2, потому что в них используются сторонние библиотеки, которые еще не были обновлены для поддержки TensorFlow 2. В частности, в руководствах используется Mask-RCNN для распознавания объектов. После обновления сторонней библиотеки эти учебники также будут обновлены."
240,Does the LSTM book cover multivariate time series?,"Книга «Сети с долгосрочной краткосрочной памятью с Python» не сосредоточена на прогнозировании временных рядов, вместо этого она сосредоточена на методе LSTM для набора задач прогнозирования последовательности.
В книге «Глубокое обучение для прогнозирования временных рядов» показано, как разрабатывать модели MLP, CNN и LSTM для одномерных, многомерных и многоэтапных задач прогнозирования временных рядов."
241,How are the mini-courses different from the books?,"Мини-курсы - это бесплатные курсы, предлагаемые по ряду тем машинного обучения и доступные по электронной почте, в формате PDF и в блогах.
Мини-курсы бывают:

Короткие, обычно продолжительностью 7 или 14 дней.
Лаконично, обычно дает по одной подсказке или фрагменту кода за урок.
Ограниченный, как правило, суженный до нескольких связанных областей.

Электронные книги представлены по многим из тех же тем, предлагая полные учебные курсы по темам.
Электронные книги:

Более длинные, обычно более 25 полных учебных уроков, каждый из которых занимает до часа.
Complete, обеспечивая мягкое введение в каждый урок, включая полный рабочий код и дополнительные материалы для чтения.
Широкий, охватывающий все темы, необходимые по теме, чтобы быстро стать продуктивным и применить методы в ваших собственных проектах.

Мини-курсы созданы для быстрого получения результата. Если вам нужна дополнительная информация или более полные примеры кода по теме, вы можете приобрести соответствующую электронную книгу."
242,How are the two algorithm books different?,"Книга «Основные алгоритмы машинного обучения» предназначена как для программистов, так и для непрограммистов. Он научит вас, как работают 10 лучших алгоритмов машинного обучения, с отработанными примерами в арифметике и таблицами, а не кодом. Основное внимание уделяется пониманию того, как каждая модель учится и делает прогнозы.
Книга «Алгоритмы машинного обучения с нуля» предназначена для программистов, которые учатся путем написания кода для понимания. Он предоставляет пошаговые инструкции о том, как реализовать лучшие алгоритмы, а также о том, как загружать данные, оценивать модели и многое другое. В нем меньше информации о том, как работают алгоритмы, вместо этого он сосредоточен исключительно на том, как реализовать каждый из них в коде.
Эти две книги могут поддерживать друг друга."
243,How are your books different from the blog?,"Книги - это сконцентрированная и более удобная версия того, что я размещаю в блоге.
Я разрабатываю свои книги как комбинацию уроков и проектов, чтобы научить вас использовать конкретный инструмент машинного обучения или библиотеку, а затем применить их к реальным задачам прогнозного моделирования.
Книги обновляются с исправлениями ошибок, обновлениями для изменений API и добавлением новых глав, и эти обновления абсолютно бесплатны.
Я помещаю некоторые главы книги в блог в качестве примеров, но они не привязаны к окружающим главам или повествованию, которое предлагает книга, и не предлагают отдельные файлы кода.
С каждой книгой вы также получаете все файлы исходного кода, использованные в книге, которые вы можете использовать в качестве рецептов для быстрого старта ваших собственных задач прогнозного моделирования."
244,How are your books different to other books on machine learning?,"Мои книги - это пьесы. Не учебники.
У них нет глубоких объяснений теории, только рабочие примеры, сфокусированные на информации, которую вам нужно знать, чтобы внедрить машинное обучение в свой проект.
Здесь мало математики, теории или выводов.
Мои читатели действительно ценят подход сверху вниз, а не снизу вверх, используемый в моем материале. Это один из аспектов, о котором я получаю больше всего отзывов.
Мои книги не для всех, они тщательно разработаны для практикующих, которым нужно быстро получить результаты."
245,How do I access the code provided with the book?,"Для каждого примера, представленного в книге, предоставляется файл кода.
Файлы наборов данных, используемые в каждой главе, также прилагаются к книге.
Файлы кода и набора данных предоставляются как часть вашего .zip-файла для загрузки в подкаталоге code /. Код и наборы данных организованы в подкаталоги, по одному для каждой главы, содержащей пример кода.
Если вы потеряли загруженный файл .zip, вы можете связаться со мной, и я отправлю обновленное письмо с квитанцией о покупке со ссылкой для загрузки вашего пакета."
246,How do I buy a book?,"Электронные книги можно приобрести непосредственно на моем веб-сайте.

Сначала найдите книгу или комплект, который хотите приобрести, полный каталог вы можете увидеть здесь:

Книги по машинному обучению


Нажмите на книгу или набор, который вы хотите приобрести, чтобы перейти на страницу сведений о книге.
Нажмите кнопку «Купить сейчас», чтобы книга или набор перешли на страницу корзины покупок.
Заполните корзину, указав свои данные и платежные реквизиты, и нажмите кнопку «Разместить заказ».
После совершения покупки вам будет отправлено электронное письмо со ссылкой для загрузки книги или набора.

Все цены указаны в долларах США (USD).
Книги можно покупать с помощью PayPal или кредитной карты."
247,How do I convert my currency to US dollars?,"Все цены на Machine Learning Mastery указаны в долларах США.
Платежи можно производить с помощью PayPal или кредитной карты, которая поддерживает международные платежи (например, большинство кредитных карт).
Вам не нужно явно конвертировать деньги из вашей валюты в доллары США.
Конвертация валюты выполняется автоматически, когда вы совершаете платеж с помощью PayPal или кредитной карты."
248,How do I download my purchase?,"После заполнения и отправки формы заказа вы сразу же сможете загрузить свою покупку.
Ваш веб-браузер будет перенаправлен на веб-страницу, где вы сможете загрузить свою покупку.
Вы также получите электронное письмо со ссылкой для загрузки покупки.
Если вы потеряете электронное письмо или срок действия ссылки в электронном письме истечет, свяжитесь со мной, и я повторно отправлю электронное письмо с квитанцией о покупке с обновленной ссылкой для загрузки."
249,How do I get access to the bonuses?,"После завершения покупки вы получите электронное письмо со ссылкой для загрузки пакета.
Загрузка будет включать книгу или книги и любые дополнительные материалы."
250,How do I use a discount coupon?,"Чтобы использовать код скидки, также называемый кодом предложения, или купоном на скидку при совершении покупки, выполните следующие действия:
1. Введите текст кода скидки в поле «Купон на скидку» на странице оформления заказа.


Обратите внимание: если вы не видите поле «Купон на скидку» на странице оформления заказа, это означает, что этот продукт не поддерживает скидки.
2. Нажмите кнопку «Применить».

3. Затем вы увидите сообщение о том, что скидка была успешно применена к вашему заказу.



Обратите внимание: если код скидки, который вы использовали, больше не действителен, вы увидите сообщение о том, что скидка не была успешно применена к вашему заказу.
"
251,How long do books take to ship?,"Нет бумажных книг, поэтому доставка не требуется.
Все книги представляют собой электронные книги, которые вы можете скачать сразу после совершения покупки."
252,How long will a book take me to finish?,"Я рекомендую читать по одной главе в день.
Импульс важен.
Некоторые читатели заканчивают книгу за выходные.
Большинство читателей заканчивают книгу за несколько недель, работая над ней по вечерам и в выходные."
253,How long will it take to get the book?,"Вы получите свою книгу немедленно.
После того, как вы заполните и отправите платежную форму, вы будете немедленно перенаправлены на веб-страницу со ссылкой для загрузки вашей покупки.
Вам также сразу же будет отправлено электронное письмо со ссылкой для загрузки вашей покупки."
254,In what order should I read your books?,"В каком порядке читать книги?
Это отличный вопрос, мои лучшие предложения заключаются в следующем:

Начните с книги по теме, которая вас больше всего волнует.
Подумайте о том, чтобы начать с книги по теме, которую вы можете сразу применить в проекте.

Кроме того, учтите, что вам не нужно читать все книги, возможно, часть книг даст вам необходимые или желаемые навыки.
Тем не менее, один из предлагаемых порядков чтения книг следующий:

Вероятность машинного обучения
Статистические методы машинного обучения
Линейная алгебра для машинного обучения
Освойте алгоритмы машинного обучения
Алгоритмы машинного обучения с нуля
Мастерство машинного обучения с Weka
Мастерство машинного обучения с Python
Мастерство машинного обучения с R
Подготовка данных для машинного обучения
Несбалансированная классификация с Python
Прогнозирование временных рядов с помощью Python
XGBoost с Python
Глубокое обучение с помощью Python
Сети долгосрочной краткосрочной памяти с Python
Глубокое обучение для обработки естественного языка
Глубокое обучение для компьютерного зрения
Глубокое обучение для прогнозирования временных рядов
Лучшее глубокое обучение
Генеративные состязательные сети с Python

Надеюсь, это поможет."
255,Is there a license for libraries?,"К сожалению, у меня нет лицензии на покупку книг или комплектов для библиотек.
Книги предназначены только для индивидуального пользования."
256,Is there a team or company license?,"В общем, нет.
Многопользовательские лицензии создают для меня кошмар обслуживания, извините. Это отнимает время от чтения, письма и помощи моим читателям.
Если у вас большой заказ, например, для класса студентов или большой команды, свяжитесь со мной, и мы что-то разработаем."
257,Is there any digital rights management (DRM)?,Нет.
258,Is there errata or a change log for the books?,"Я часто обновляю книги, и вы можете получить доступ к последней версии книги в любое время.
Чтобы получить последнюю версию книги, свяжитесь со мной напрямую и сообщите номер вашего заказа или адрес электронной почты для покупки, и я могу повторно отправить электронное письмо с квитанцией о покупке с обновленной ссылкой для загрузки.
Я не веду общедоступный журнал изменений или исправлений для изменений в книге, извините."
259,What about delivery?,"Нет бумажных книг, поэтому доставка не требуется.
Все книги представляют собой электронные книги в формате PDF, которые вы можете скачать сразу после совершения покупки.
Вы получите электронное письмо со ссылкой для загрузки покупки. Вы также можете связаться со мной в любое время, чтобы получить новую ссылку для скачивания.
Я поддерживаю покупки из любой страны через PayPal или кредитную карту."
260,What book should I start with?,"Мой лучший совет - начать с книги по теме, которую вы можете сразу использовать.
Открыв это, выберите тему, которая вас интересует больше всего.
Если вы не уверены, возможно, попробуйте проработать некоторые из бесплатных руководств, чтобы увидеть, к какой области вы стремитесь.

Начните здесь, в машинном обучении

Как правило, я рекомендую сосредоточиться на процессе сквозной проработки задачи прогнозного моделирования:

Прикладной процесс машинного обучения

У меня есть три книги, которые покажут вам, как это сделать с тремя ведущими платформами с открытым исходным кодом:

Осваивайте машинное обучение с помощью Weka (без программирования)
Освойте машинное обучение с помощью R (каретка)
Осваивайте машинное обучение с помощью Python (pandas и scikit-learn)

Это отличные места для начала.
Вы всегда можете вернуться назад и взять книгу по алгоритмам позже, чтобы узнать больше о том, как работают конкретные методы, более подробно."
261,What books and bundles do you sell?,"Спасибо за ваш интерес.
Вы можете увидеть полный каталог моих книг и наборов здесь:

Полный каталог мастерства машинного обучения"
262,What books are you writing next?,"Спасибо за вопрос.
Я стараюсь не планировать свои книги слишком далеко на будущее. Я стараюсь писать о темах, о которых меня чаще всего спрашивают, или о темах, где я вижу больше всего недопониманий.
Если вы хотите, чтобы я написал больше по теме, я хотел бы знать.
Свяжитесь со мной напрямую и дайте мне знать тему и даже типы руководств, которые вы хотели бы, чтобы я написал."
263,What books have I already purchased?,"Свяжитесь со мной и дайте мне знать адрес электронной почты (или адреса электронной почты), которые, по вашему мнению, вы использовали для совершения покупок.
Я могу посмотреть, какие покупки вы совершили, и повторно отправить вам квитанции о покупке, чтобы вы могли повторно загрузить свои книги и наборы."
264,What currencies do you support?,"Все цены указаны в долларах США (USD).
Вся конвертация валюты осуществляется PayPal для покупок через PayPal или Stripe и вашим банком для покупок по кредитной карте."
265,What if my download link expires?,"Возможно, срок действия вашей ссылки для загрузки покупки истечет через несколько дней.
Это мера безопасности.
Свяжитесь со мной, и я повторно отправлю вам квитанцию ​​о покупке с обновленной ссылкой для скачивания."
266,What is the difference between the LSTM and Deep Learning books?,"Книга «Глубокое обучение с помощью Python» может стать предпосылкой для «Сети с долгосрочной краткосрочной памятью с помощью Python». Он научит вас, как начать работу с Keras и как разработать свой первый MLP, CNN и LSTM.
В книге «Сети с долгосрочной краткосрочной памятью с Python» подробно рассматриваются LSTM и рассказывается, как подготовить данные, как разработать набор различных архитектур LSTM, настроить параметры, обновить модели и многое другое."
267,What is the difference between the LSTM and Deep Learning for Time Series books?,"Обе книги посвящены глубокому обучению на Python с использованием библиотеки Keras.
Книга «Сети с долгосрочной краткосрочной памятью в Python» посвящена разработке набора различных сетей LSTM для предсказания последовательности в целом.
В книге «Глубокое обучение для прогнозирования временных рядов» основное внимание уделяется тому, как использовать набор различных моделей глубокого обучения (MLP, CNN, LSTM и гибриды) для решения набора различных задач прогнозирования временных рядов (одномерных, многомерных, многоэтапных и комбинаций). ).
Книга LSTM учит только LSTM и не фокусируется на временных рядах. Книга «Глубокое обучение для временных рядов» фокусируется на временных рядах и учит, как использовать множество различных моделей, включая LSTM."
268,What is the difference between the LSTM and the NLP books?,"Книга «Сети с краткосрочной памятью с использованием Python» посвящена тому, как реализовать различные типы моделей LSTM.
Книга «Глубокое обучение для обработки естественного языка» фокусируется на том, как использовать множество различных сетей (включая LSTM) для задач предсказания текста.
Книга LSTM может поддерживать книгу NLP, но это не является обязательным условием."
269,"What is your business or corporate tax number (e.g. ABN, ACN, VAT, etc.)","Вам может понадобиться налоговый номер компании или компании для компании «Machine Learning Mastery» для ваших собственных налоговых целей. Например, это распространено в компаниях ЕС.
Компания Machine Learning Mastery зарегистрирована и работает за пределами Австралии.
Таким образом, у компании нет идентификационного номера плательщика НДС для ЕС или аналогичного номера для вашей страны или региона.
У компании есть номер австралийской компании или ACN. Детали следующие:

Торговое название: Machine Learning Mastery Pty Ltd
ACN: 626 223 336"
270,What operating systems are supported in the books?,"Linux, MacOS и Windows."
271,What programming language is used in “Master Machine Learning Algorithms”?,"В «Основных алгоритмах машинного обучения» нет примеров кода, поэтому язык программирования не используется.
Описываются алгоритмы и резюмируется их работа с использованием базовой арифметики. Поведение алгоритма также демонстрируется в таблицах Excel, которые доступны вместе с книгой.
Это отличная книга для изучения того, как работают алгоритмы, не отвлекаясь от теории или синтаксиса программирования.
Если вам интересно узнать об алгоритмах машинного обучения, написав их с нуля (используя язык программирования Python), я бы порекомендовал другую книгу:

Алгоритмы машинного обучения с нуля: с Python"
272,What software do you use to write your books?,"Я пишу контент для книг (слова и код) с помощью текстового редактора, особенно Sublime.
Я набираю книги и создаю PDF с помощью LaTeX."
273,What version of Python is used?,"Все книги протестированы и работают с Python 3 (например, 3.5 или 3.6).
Большинство книг также были протестированы и работают с Python 2.7.
По возможности я рекомендую использовать последнюю версию Python 3."
274,Where is my purchase?,"После того, как вы заполните форму заказа и отправите ее, произойдут две вещи:

Вы будете перенаправлены на веб-страницу, где сможете скачать свою покупку.
Вам будет отправлено электронное письмо (на адрес электронной почты, указанный в форме заказа) со ссылкой для загрузки вашей покупки.

Перенаправление в браузере и по электронной почте произойдет сразу после совершения покупки.
Вы можете загрузить свою покупку либо с веб-страницы, либо по электронной почте.
Если вы не можете найти письмо, возможно, проверьте другие папки электронной почты, например папку «спам»?
Если у вас есть какие-либо вопросы, свяжитесь со мной, и я могу повторно отправить электронное письмо с квитанцией о покупке со ссылкой для загрузки."
275,Why are some of the book chapters also on the blog?,"Сначала я тестирую свои учебники и проекты в блоге. Это похоже на ранний доступ к идеям, и многие из них не попадают в мои тренировки.
Большая часть материалов в книгах сначала появилась в моем блоге в той или иной форме, а затем доработана, улучшена и преобразована в формат главы. Я считаю, что это очень помогает с качеством и исправлением ошибок.
Книги обеспечивают более удобную упаковку материала, включая исходный код, наборы данных и формат PDF. Они также включают обновления для новых API, новые главы, исправление ошибок и опечаток и прямой доступ ко мне для всей поддержки и помощи, которые я могу предоставить."
276,Why are your books so expensive?,"Я считаю, что мои книги предлагают тысячи долларов на образование по десятки долларов каждая.
Это месяцы, если не годы опыта, воплощенные в несколько сотен страниц тщательно составленных и проверенных руководств.
Я думаю, что это выгодная сделка для профессиональных разработчиков, которые хотят быстро развить навыки прикладного машинного обучения или использовать машинное обучение в проекте.
Кроме того, какую ценность для вас имеют навыки машинного обучения? к вашему следующему проекту? а вы настоящий или следующий работодатель?
Тем не менее, цена на мои книги может показаться высокой, если вы студент или если вы не привыкли к высоким зарплатам разработчиков в Северной Америке, Австралии, Великобритании и других подобных частях мира. Мне очень жаль.
Скидки
Я предлагаю скидки студентам, учителям и пенсионерам.
Пожалуйста, свяжитесь со мной, чтобы узнать больше.
Бесплатный материал
Я предлагаю тонну бесплатного контента в своем блоге, вы можете начать с моих лучших бесплатных материалов здесь:

Начните здесь для машинного обучения

О моих книгах
Мои книги - это пьесы.
Они предназначены для разработчиков, которые хотят знать, как использовать конкретную библиотеку для реального решения проблем и повышения эффективности работы.

Мои книги проведут вас только через элементы, которые вам необходимо знать, чтобы добиться результатов.
Мои книги имеют формат PDF и содержат код и наборы данных, специально предназначенные для чтения и работы на компьютере.
Мои книги дают вам прямой доступ ко мне по электронной почте (какие другие книги это предлагают?)
Мои книги - это крошечные расходы профессионального разработчика, которые могут быть оплачены компанией и не облагаются налогом в большинстве регионов.

Очень мало учебных материалов по машинному обучению посвящено тому, как добиться результатов.
Подавляющее большинство из них повторяют одну и ту же математику и теорию и игнорируют одну вещь, которая вас действительно волнует: как использовать методы в проекте.
Сравнение с другими вариантами
Позвольте мне рассказать вам о ценах на книги:
На youtube есть бесплатные видео, а в блогах - обучающие программы.

Отлично, я рекомендую вам использовать их, включая мои собственные бесплатные руководства.

Есть очень дешевые видеокурсы, которые научат вас одному или двум трюкам с API.

Мои книги научат вас, как использовать библиотеку для сквозной работы над проектом и приносить пользу, а не просто несколько уловок

Учебник по машинному обучению может стоить от 50 до 100 долларов.

Все мои книги дешевле, чем средний учебник по машинному обучению, и я ожидаю, что вы сможете стать более продуктивным раньше.

Буткемп или другое очное обучение может стоить более 1000 долларов и длиться от нескольких дней до недель.

Пачка всех моих книг намного дешевле, чем эта, они позволяют вам работать в своем собственном темпе, а комплект охватывает больше контента, чем средний учебный лагерь."
277,Why aren’t your books on Amazon?,"К сожалению, мои книги недоступны на таких сайтах, как Amazon.com.
Я осторожно решил не размещать свои книги на Amazon по ряду причин:

Amazon берет 65% от продажной цены самостоятельно изданных книг, в результате чего я разоряюсь.
Amazon предлагает очень слабый контроль над страницей продаж и корзиной покупок.
Amazon не позволяет мне связываться с моими клиентами по электронной почте и предлагать прямую поддержку и обновления.
Amazon не позволяет мне доставлять книгу покупателям в формате PDF, который мои клиенты предпочитают читать на экране.

Надеюсь, это поможет вам понять мою причину."
