questions,answers
"aWhat is the difference between “tolerance”, “confidence” and “prediction” intervals?","A tolerance interval describes the expected range of observations in a distribution. It could be used to identify outliers.
A confidence interval describes the expected range for a distribution parameter. It could be used to describe the accuracy or error of a model on average.
A prediction interval describes the expected range for an observation. It could be used to describe the uncertainty in a prediction.
I have tutorials showing how to calculate each type of interval on the blog.
"
aWhat is the difference between “validation” and “test” sets?,"A training dataset is used to train or fit a model.
A test dataset has observations that do not overlap with the training dataset and is used to evaluate a trained model. Specifically, to estimate the skill of the model on a new data sample.
A validation dataset typically refers to a portion of the training dataset, separated and used as a test dataset while the hyperparameters of the model are tuned.
You can learn more in this post:

What is the Difference Between Test and Validation Datasets?

"
aWhat is the difference between “weight regularization” and “weight constraint”?,"Larger weights in a neural network (weights larger than they need to be) are a sign of overfitting and can make the model unstable.
Both weight regularization and weight constraints are regularization approaches intended to reduce overfitting (improve the generalization) of a neural network model.
Weight regularization updates the loss function used during training to penalize the model based on the size of the weights, calculated as the vector norm (magnitude) like L1 (sum of absolute weights) or L2 (sum of squared weights). Use of the L2 vector norm is often called “weight decay“.
Weight constraint is an if-then check during optimization for the size of the weights. If triggered, e.g. if the size of the weights calculated as the vector norm (often max norm) is larger than a pre-defined value, all weights are scaled so that the norm of the weights is below the desired level.
So “weight regularization” encourages the model to have small weights, where as “weight constraints” forces the model to have small weights.
"
aWhat is the difference between a “batch” and an “epoch”?,"In neural networks, a batch and an epoch are two hyperparametres that you must choose when training the network.
They are used in the stochastic gradient descent.
A sample is a single row of data, including the inputs for the network and the expected output.
A batch is a collection of samples that the network will process, after which the model weights will be updated. The model will make predictions for each sample in the batch, the error will be calculated by comparing the prediction to the expected value, an error gradient will be estimated and the weights will be updated. A training dataset is split into one or more batches.
An epoch involves one pass over the training dataset. One epoch is comprised of one or more batches, depending on the chosen batch size.
You can learn more about the difference between a batch and an epoch here:

What is the Difference Between a Batch and an Epoch in a Neural Network?

You can learn more about stochastic gradient descent for training neural networks here:

A Gentle Introduction to Mini-Batch Gradient Descent and How to Configure Batch Size

"
aWhat is the difference between a “descriptive” and a “predictive” model?,"A descriptive model is a model trained on historical data with the objective of understanding something about the problem, such as cause and effect.
Simpler models are used with strong theoretical foundation that aid in the understanding of the problem.
Descriptive modeling is often the goal in applied statistics and econometrics.
A predictive model is a model trained on historical data with the objective of making accurate predictions.
Complex models may be used that giver little if any idea of why specific predictions are made.
Predictive modeling is often the goal of applied machine learning, or a subfield referred to as predictive modeling.
"
aWhat is the difference between a “model” and an “algorithm”?,"A machine learning algorithm is a procedure that is run on training data to create a model.
It is the process that does the learning.
Some examples include:

Linear Regression.
Stochastic Gradient Descent with Backpropagation in a neural network.
Random Forest.

A machine learning model is the result the learning process of a machine learning algorithm.
A model is the “program” that is saved after training, later loaded and used to make predictions on new data.
Some examples include:

The coefficients from a linear regression.
The weights and structure of an artificial neural network.
The decision trees from a random forest.

For more information, see this tutorial:

Difference Between Algorithm and Model in Machine Learning

"
aWhat is the difference between a “parameter” and a “hyperparameter”?,"Model parameters are internal to the model and learned by the training algorithm.
Examples of model parameters are the coefficients in a regression, weights in a neural network, and the split points in a decision tree.
The model parameters are the thing saved after training. They are the model.
Model hyperparameters are specified by you, the practitioner and often control the learning process. They are parameters that cannot be learned.
Examples of model hyperparameters are the number of epochs or training iterations in stochastic gradient descent and the maximum depth of decision trees.
The model hyperparameters are found by trial-and-error, by grid/random searching, or by comping examples that have worked in the past.
For more, see the post:

What is the Difference Between a Parameter and a Hyperparameter?

"
aWhat is the difference between a “sample” and a “population”?,"In statistics, a sample and a population are used to refer to data.
A sample is comprised of one or more individual observations drawn from a domain.
A population is the idealized notion of all possible observations from which specific samples of observations can be drawn.
In statistics, we often estimate parameters of the distribution of data in the population given a sample.
"
aWhat is the no free lunch theorem?,"Generally, the no free lunch theorem suggests that no single machine learning method will perform better than any other when averaged across all possible problems.
The theorem concerns optimization and search, although has implications for predictive modeling with machine learning as most methods solve an optimization problem in order to approximate a function.
The implication is that there is no single algorithm that will be the best, let alone perform well, across all problems. Stated another way, all algorithms perform equally well when their performance is averaged across all possible problems. There is no silver bullet.
It is theoretical and assumes that we do not know anything about the problem, therefore cannot use knowledge of the problem to narrow the selection of algorithms. This is not true in practice.
Although there are no silver bullets, there are algorithms (such as Random Forest and Stochastic Gradient Boosting) that perform surprisingly well across many predictive modeling problems that we are interested in, i.e. a subset of all possible problems.
For more, see the paper:

No Free Lunch Theorems for Optimization, 1997.

"
aWhat mathematical background do I need for machine learning?,"Don’t start with the maths.
My mission is to help you get started and get good at applied machine learning using a “learn by doing” philosophy. I teach using a top-down and results-first approach.
Starting with the math is the classical, university way. The way of training a machine learning academic, not a modern practitioner. It does not have to be that hard. See this post

You’re Doing it Wrong. Why Machine Learning Does Not Have to Be So Hard

If you want the bottom-up theory-first approach to machine learning, I would recommend a textbook or a multi-year graduate program. It is a path to theoretical machine learning and academia.
That being said, it is generally recognized that eventually, you will need to know your away around the intersection of these fields of math:

Linear Algebra
Statistics
Probability
Calculus

Not all of these areas of math are relevant, only parts. Also, you need the intersections of these fields. For example, Linear Algebra + Statistics is Multivariate Analysis, and it’s needed to get into PCA and other projection methods, Linear Algebra + Calculus is Multivariate Calculus, needed for learning algorithms in deep learning. These are really hard postgraduate topics and not the place to start for developers that have a problem to solve.
Don’t make the beginners mistake of thinking you need to start here. Circle back after you know how to work through a predictive modeling problem end-to-end.
Learn math when you’re ready and only learn the relevant parts to help you get the most out of a method, or better results on your next project.
Read this:

Machine Learning for Programmers
The Machine Learning Mastery Method

Also, read this post:

What If I Am Not Good At Mathematics

"
aWhat methods can be used for modeling sports?,"I don’t have much experience in modeling sports datasets.
Nevertheless, I have seen some success in the use of rating systems to score teams, in team sports.
You can learn more about rating systems here:

Rating system

A classical algoritm would be the Elo Rating system, a modern example would be Microsoft’s TrueSkill.
"
aWhat other machine learning books do you recommend?,"I love books.
I read a few books per week, I have a large reference library, and I’m always buying more books.
I would encourage you to read widely in machine learning.
To get started, here is a good list of books on machine learning:

Machine Learning Books

I also have lists of books on specific subjects, for example:

Statistics Books for Machine Learning
Top Resources for Learning Linear Algebra for Machine Learning
Top Books on Natural Language Processing
Top Books on Time Series Forecasting With R
Practical Machine Learning Books for the Holidays
Deep Learning Books
Books for Machine Learning with R
Python Machine Learning Books
6 Practical Books for Beginning Machine Learning
Best Machine Learning Resources for Getting Started

Reading a book may not be enough, you have to know how to get the most out of it.
This post will give you some ideas on how to get the most out of the books that you are reading:

How to get the most from Machine Learning Books and Courses

"
aWhat programming language should I use for machine learning?,"The specific programming language or platform that you use does not matter.

I strongly believe that the best thing to focus on is how to work through machine learning problems end-to-end (learn more).
That being said, I think if you’re not a strong programmer, that Weka is the best place to start because you can work through problems without writing a line of code (learn more).
I think Python is excellent for developing models that can run in production, it is a growing platform (learn more).
I think R might be the most powerful platform, but it requires learning a new programming language. I think the sweet spot for R is one-off projects and R&D projects (learn more).

Also, this post might help:

Best Programming Language for Machine Learning

If pressed to answer, I would recommend that you start with Python (learn more).
"
aWhat should I do if model performance gets stuck?,"It is possible for the performance of your model to get stuck during training.
This can happen with neural networks that achieve a specific loss, error or accuracy and no longer improve, showing the same score at the end of each subsequent epoch.
In the simplest case, if you have a fixed random number seed for the code example, then try changing the random seed, or do not specify the seed so that different random numbers are used for each run of the code.
Then try running the example a few times.
To learn more about randomness in machine learning see this post:

Embrace Randomness in Machine Learning

To learn more about pseudorandom number generators in machine learning, see this post:

Introduction to Random Number Generators for Machine Learning in Python

If the problem is not the randomness, it is possible that your model has converged. If the skill of the model is not good after convergence, this is referred to as premature convergence.
You can address premature convergence by slowing down the learning by the model. You can do this by changing different hyperparameters for the learning process, such as:

Using a smaller learning rate.
Using a larger network (nodes or layers).
Using a training dataset with more examples.
And so on…

Premature convergence is a big area of study and I recommend reading up further on the topic if you need further ideas.
"
aWhat value should I set for the random number seed?,"Machine learning algorithms use randomness, such as in the initialization, during learning, and in the evaluation of the algorithm.
Random numbers are calculated using a pseudorandom number generator.
Pseudorandom number generators can be seeded such that they produce the same sequence of numbers each time they are run. This can be useful to reproduce a model exactly, such as during a tutorial or as a final model trained on all available data.
The value used to seed the pseudorandom number generator does not matter. You can use any number you wish.
To learn more about pseudorandom number generators and when it is appropriate to seed them, see the post:

Introduction to Random Number Generators for Machine Learning in Python

To learn more about how to seed the pseudorandom number generator for deep learning in Keras, see the post:

How to Get Reproducible Results with Keras

"
aWhat value should I use for ___ hyperparameter?,"A hyperparameter is a user specified parameter of a model.
It allows you to tune the model to your specific problem.
By definition, a user parameter cannot be set automatically. There may exist heuristics to set the hyperparameter, but if they were reliable, they would be used instead of requiring for you to set the value for the hyperparameter.
You can learn more about parameters and hyperparameters here:

What is the Difference Between a Parameter and a Hyperparameter?

To set the value for a hyperparameter you must use careful experimentation with a robust test harness in order to discover values that work best for your specific dataset.
Some suggestions to speed up this process include:

Try heuristics reported in the literature.
Try values reported in the literature on similar problems.
Try a random search.
Try a grid search.
Try a heuristic search.

"
aWhen should I standardize and normalize data?,"Standardization refers to scaling a variable that has a Gaussian distribution such that it has a mean of zero and a standard deviation of one.
Normalization refers to scaling a variable that has any distribution so that all values are between zero and one.
It is possible to normalize after standardizing a variable.
Generally, normalization and standardization are data scaling methods, and there are other methods that you may want to use.
Scaling methods are often appropriate with machine learning models that learn or make prediction on data using the distance between observations (e.g. k-nearest neighbors and support vector machines) and methods that calculate weighted sums of inputs (e.g. linear regression, logistic regression, and neural networks).
If you are still in doubt as to whether you should standardize, normalize, both, or something else, then I would recommend establishing a baseline model performance on your raw data, then experiment with each scaling method and compare the resulting skill of the model.
For more information on how to standardize data and normalize data, see the tutorial:

How to Use StandardScaler and MinMaxScaler Transforms in Python

"
"aWhen should I use an MLP, CNN and RNN?","A Multilayer Perceptron or MLP can approximate a mapping function from inputs to outputs. They are flexible and can be adapted to most problems, nevertheless, they are perhaps more suited to classification and regression problems.
A Convolutional Neural Network or CNN was developed and is best used for image classification. They can also be used generally for working with data that has a spatial structure, such as a sequence of words and can be used for document classification.
A Recurrent Neural Network or RNN (such as the LSTM network) was developed for sequence prediction and are well suited for problems that have a sequence on input observations or a sequence of output observations. They are suitable for text data, audio data and similar applications.
Most useful network architectures are a hybrid, combining MLP, CNN and/or RNNs in some way.
For more information, see the post:

When to Use MLP, CNN, and RNN Neural Networks

"
aWhy are some scores like MSE negative in scikit-learn?,"Some model evaluation metrics such as mean squared error (MSE) are negative when calculated in scikit-learn.
This is confusing, because error scores like MSE cannot actually be negative, with the smallest value being zero or no error.
The scikit-learn library has a unified model scoring system where it assumes that all model scores are maximized. In order this system to work with scores that are minimized, like MSE and other measures of error, the sores that are minimized are inverted by making them negative.
This can also be seen in the specification of the metric, e.g. ‘neg‘ is used in the name of the metric ‘neg_mean_squared_error‘.
When interpreting the negative error scores, you can ignore the sign and use them directly.
You can learn more here:

Model evaluation: quantifying the quality of predictions

"
aWhy can’t I get 100% accuracy or zero error with my model?,"A predictive model will always have some error.
The model is an approximation for some unknown underlying perfect mapping function from inputs to the output being predicted.
Many aspects can introduce error into this mapping, for example:

The size and quality of the samples of observations, called random sampling error.
Noise in the observations, from random variation in the data to mislabeled examples.
Bias in the learning algorithm or chosen model.
Variance in the learning algorithm or model given the data sample.
The method of model evaluation.

We cannot find the best possible model for a given predictive modeling problem, it is intractable.
Instead, we must find the best model we can given the time and resources that we have available for the project.
The idea of good model skill is relative to a baseline on your specific problem, not comparisons of model skill across different problems.
Common baselines include the mean for regression, the model for classification or a persistence forecast in a time series problem.
"
aWhy do I get different results each time I run the algorithm?,"You may get different model performance or a different prediction when you run code from a tutorial.
There are three main reasons why machine learning results may vary, they are:

Stochastic machine learning algorithm.
Stochastic algorithm evaluation.
Rounding errors given hardware or platform.

For an in-depth tutorial on this topic, see:

Why Do I Get Different Results Each Time in Machine Learning?

Let’s take a closer look at each.
1. Stochastic machine learning algorithm means that you may get different results when you run the same algorithm on the same data on the same machine.
Relax. It is a feature, not a bug.
Many machine learning algorithms are stochastic, meaning they use a little randomness while learning, which means a slightly different model will be learned each time the same algorithm us run. The little bit of randomness helps the algorithm find better models, on average.
For more on this topic see:

Embrace Randomness in Machine Learning

Effective evaluation of stochastic machine learning algorithms requires you run the experiment many times and average the result. A single model evaluation run probably won’t cut it.
For more on this topic see:

Repeated k-Fold Cross-Validation for Model Evaluation in Python
How to Evaluate the Skill of Deep Learning Models
How to Get Reproducible Results with Keras

If you are worried about the final model being different each time your code is run, fit many final models and average their predictions.
For more on this topic see:

How to Reduce Variance in a Final Machine Learning Model

DO NOT fix the seed for the pseudorandom number generator used by your machine learning algorithm. It’s a fragile kludge and ignores the nature of the learning system you are using.
2. Stochastic algorithm evaluation means that procedures like train/test split or k-fold cross-validation use some randomness when splitting up the dataset. This means although your algorithm may or may not be stochastic (above), you will get a different evaluation for the model each run.
Generally, it is a good idea to fix the seed for the pseudorandom number generator used by the evaluation procedure so you get the same split of data each time the code is run or each time the same test harness is used to evaluate different algorithms or algorithm configurations.
This tutorial may help:

Introduction to Random Number Generators for Machine Learning in Python
Train-Test Split for Evaluating Machine Learning Algorithms
How to Configure k-Fold Cross-Validation

3. Rounding errors given hardware platform means that different hardware or different version of the underlying math libraries may make different rounding errors. These errors can compound resulting in noticeable differences.
Although less likely, it is still an issue and is a fact of simulating floating point numbers for numerical computation on digital hardware.
 
"
aWhy do you focus on Python for machine learning?,"I like to use different tools depending on the project.
Recently I have been focusing more attention on Python-based tools and libraries.
It seems that Python may be emerging as a dominant platform. Skills in Python for machine learning are in great demand. I am just serving this need.
See the post:

Python is the Growing Platform for Applied Machine Learning

"
aWhy do you use the test dataset as the validation dataset?,"In many of the code examples, I will use the test set as the validation dataset.
This is a shortcut used in tutorials to get an idea of how well a model, like a neural network, is performing on a hold out dataset during training.
I do this sometimes for brevity, to keep the examples in the tutorials simple.
In general, it is not recommended to use the test set as a validation dataset.
A validation dataset is a subset of the training dataset that is not used to fit the model, and is instead used to evaluate model performance during training and perhaps tune the model hyperparameters.
A test set is a separate holdout dataset that is not used at all during training, and is only used after a model has been selected to estimate the expected performance of the chosen model or models.
For more on the difference between test and validation datasets, see the post:

What is the Difference Between Test and Validation Datasets?

"
aWhy don’t you use or recommend notebooks and IDEs?,"I generally recommend that beginners to machine learning do not use notebooks such as IPython or Jupyter notebooks.
I also recommend that beginners don’t use fancy integrated development environments (IDEs).
Notebooks and IDEs are great tools once you know how things work and you have set up some expectations.
For a beginner, I see a host of the same issues again and again, such as:

Problems where code works on the command line but not in the notebook.
Problems with the notebook not presenting the output of models correctly.
Problems with the environment and missing libraries, even though they are installed.
Problems with paths.
Problems with hidden or obscured error messages.
Problems with new IDE-specific or notebook-specific error messages.

For beginners. I recommend writing code in a simple text editor and running scripts directly from the command line.
Running from the command line ensures:

You’re using the environment that you installed.
You see error messages directly from the interpreter.

Incidentally, I learned to program this way in a few different languages (Java, C, C++, Ruby, Python, FORTRAN, etc.) and recommend to new developers as well.
I write more about my recommended machine learning development environment in this post:

Machine Learning Development Environment

"
aWhy is my forecasted time series one step behind the actual time series?,"You are working on a time series forecasting problem and you plot your forecasted time series against the actual time series and it looks like the forecast is one step behind the actual.
This is common.
It means that your model is making a persistence forecast. This is a forecast where the input to the forecast (e.g. the observation at the previous time step) is predicted as the output.
The persistence forecast is used as a baseline method for comparison on time series forecasting. You can learn more about the method here:

How to Make Baseline Predictions for Time Series Forecasting with Python

The persistence forecast is the best that we can do on challenging time series forecasting problems, such as those series that are a random walk, like short range movements of stock prices. You can learn more about this here:

A Gentle Introduction to the Random Walk for Times Series Forecasting with Python

If your sophisticated model, such as a neural network, is outputting a persistence forecast, it might mean:

That the model requires further tuning.
That the chosen model cannot address your specific dataset.
It might also mean that your time series problem is not predictable.

"
aWhy is my GAN not converging?,"GAN models do not converge.
Instead, the generator and the discriminator models find a stable equilibrium (hopefully). The generator deceives the discriminator at some level (but not all the time) and the discriminator effectively classifies real and generated images (but not all the time).
For more on this relationship between the models, see this tutorial:

A Gentle Introduction to Generative Adversarial Networks (GANs)

If the generator and the discriminator models do not find an equilibrium, and training does converge. This is bad and the models are probably now useless. This is called a GAN failure mode.
For more on this topic, see the tutorial:

How to Identify and Diagnose GAN Failure Modes

So how do you know when to stop training the GAN models?
Good question. You can use the generator to generate images every few epochs, review the images and decide whether to keep training. Or train for a long time, save the model every few epochs, then at the end of the run use each model to generate images and choose the model that was saved that generates the best images.
There are also metrics you can use toe valuate the generated images and in turn the “skill” of the generator model.
For more on this topic, see the tutorial:

How to Evaluate Generative Adversarial Networks

"
aWhy learn machine learning?,"Why does a developer need to spend time learning machine learning?
This is an important question!
The short answer:
Because machine learning provides techniques to learn a solution from historical examples for complex problems where it is intractable or infeasible to develop a manual solution.
The longer answer:
See the post:

Machine Learning Matters

"
aWhy not learn the math and theory first?,"I call learning the math and theory for machine learning first the “bottom-up” approach to machine learning.
It is the approach taught by universities and used in textbooks.
It requires that you learn the mathematical prerequsites, then the general theories of the field, then the equations and their derivations for each algorithm.

It is much slower.
It is much harder.
It is great for training academics (not practitioners).

A final problem is, that is where the bottom-up approach ends.
I teach an alternative approach that inverts the process called “top-down” machine learning.
We start by learning the process of how to work through predictive modeling problems end to end, from defining the problem to making predictions. Then we practice this process and get good at it. We start by learning how to deliver results and add value.
Later we circle back to the math and theory, but only in the context of the process. Meaning, only the theory and math that helps us deliver better results faster is considered.
You can learn more about the contrast between these two approaches here:

The Machine Learning Mastery Method
Machine Learning for Programmers

You can learn how to get started with this approach here:

How to Get Started with Machine Learning

But it’s Dangerous!
I have seen this criticism a lot.
It is dangerous for beginners to use algorithms they don’t understand to make predictions that the business depends upon.
I agree.

I agree for the same reason that I think a student learning to drive should not drive the school bus.
I agree for the same reason that I think a student learning to code should not put their hello world code into production.

But,

The student driver can practice and get good enough to drive the school bus eventually.
The student coder can practice and get good enough to put code into production.

Trust is earned in machine learning, just like with any other profession or skill.
Does knowing how the math of an algorithm works give you that trust?
Maybe, but probably not.

Does knowing how a combustion engine works give you trust enough to drive?
Does knowing how a compiler works give you trust enough to push code to production?

I write more about this here:

You’re Doing it Wrong. Why Machine Learning Does Not Have to Be So Hard

But Math is Required!
It is, just not first.
Learning how algorithms work and about machine learning theory can make you a better machine learning practitioner.
But, it can come later, and it can come progressively.
You can iteratively dip into textbooks and papers, as needed, with a specific focus of learning a specific thing that will make you better, faster or more productive.
Knowing how an algorithm works is important, but it cannot tell you much about when to use it.
In supervised machine learning, we are using data to build a model to approximate an unknown and noisy mapping function. If we knew enough about this function in order to correctly choose the right algorithm, we probably don’t need machine learning (e.g. we could use statistics and descriptive modeling of already understood relationships).
The badly kept secret in machine learning is that you can use machine learning algorithms like black boxes, at least initially, because the hard part is actually figuring out how to best frame the problem, prepare the data and figure out which of one thousand methods might perform well.
You can learn more about this here:

A Gentle Introduction to Applied Machine Learning as a Search Problem

The math does not have to come first. It can, if you prefer to learn that way, but perhaps this site is not the best place for you to start.
"
aAre you interested in business opportunities?,"Thanks for asking.
Sorry, I’m generally not interested in new business opportunities.
I am focused on writing and helping my readers, and developing new opportunities will take a large amount of time and mental space away from this. I’m sure that you can understand.
Nevertheless, if you still want to pitch your idea, you can contact me directly.
"
aCan I ask you a question?,"Yes, I’m happy to answer questions about machine learning or my tutorials.
You can contact me directly via this form:

Contact

One question per message, please.
I don’t open attachments or links for security reasons.
I also don’t have the capacity to review your code/data/paper. I hope you can understand.
"
aCan I buy you a coffee?,"Thanks for asking.
Sorry, I cannot meet up for a coffee and a chat about machine learning and your project.
I’m focused on writing and helping my readers, and meeting up for chats throughout the day would take a lot of time and mental space away from this. I’m sure you can understand.
If you have a question about applied machine learning, you can contact me directly.
"
aCan I call you?,"Sorry, I don’t provide support via telephone.
I don’t share my phone number (cell number), and I generally don’t answer my phone with calls from unknown numbers.
You can contact me directly via my contact page.
"
aCan I do an internship at Machine Learning Mastery?,"Thanks for asking, I’m flattered.
Sorry, I do not offer an internship program. I just don’t have the capacity.
Perhaps in the future.
"
aCan I help you with your website?,"Thanks for the generous offer. I really appreciate it.
I am not looking for help at the moment.
The best help that you can give is to help to get the word out about the site. Perhaps post a link to the site on social media? Or get involved in the comments on the tutorials?
"
aCan I use your code or material in my own project?,"Yes, but understand that all code and material on my site and in my books was developed and provided for educational purposes only.
I take no responsibility for the code, what it might do, or how you might use it.
If you use my code or material in your own project, please reference the source, including:

The Name of the author, e.g. “Jason Brownlee”.
The Title of the tutorial or book.
The Name of the website, e.g. “Machine Learning Mastery”.
The URL of the tutorial or book.
The Date you accessed or copied the code.

For example:

Jason Brownlee, Machine Learning Algorithms in Python, Machine Learning Mastery, Available from https://machinelearningmastery.com/machine-learning-with-python/, accessed April 15th, 2018.

Also, if your work is public, contact me, I’d love to see it out of general interest.
"
"aCan we jump on Skype, WhatsApp, Slack, WeChat, or Google Hangouts?","Sorry, I really don’t have the capacity for one-on-one coaching.
If you have a specific machine learning question, perhaps I have some ideas.
You can contact me directly with your question.
"
aCan we meet at ___ conference?,"Thanks for asking.
Sorry, no.
I try to avoid conferences these days and prefer to catch up on the exciting results by skimming the papers or watching the videos online.
Going to conferences takes a lot of time and resources away from reading, writing and helping my readers.
"
aCan you be my mentor or coach?,"Thanks for asking.
I would love to help, but I just don’t have the capacity.
I do offer a structured and top-down approach to machine learning self-study.
You can learn more about it here:

How to Get Started With Machine Learning

I am happy to continue to answer any machine learning questions you might have by email (one question at a time please).
"
aCan you be my PhD advisor?,"Thanks for asking, I’m flattered, especially since we have never met or spoken.
Sorry, I cannot be your Ph.D. advisor or supervisor.
I am not affiliated with a university and I do not advise research students.
"
aCan you change the code in the tutorial to ___?,"I’m eager to help, but I don’t have the capacity to customize the code for your specific needs.
I get a lot of requests like this. I’m sure you can understand my rationale.
I do have some ideas that might help:

Perhaps I already have a tutorial with the change you’re asking for? Search the blog.
Perhaps you can try to make the change yourself?
Perhaps you can add a comment below the post with the change you need and I or another reader can make a suggestion?
Perhaps you can hire a contractor or programmer to make the change?
Perhaps you can post a description of the code needed on stackoverflow.com?

"
aCan you come and give a presentation or talk?,"Thanks for asking, I’m very flattered.
Sorry, I don’t have the capacity to come and give a presentation or a talk (even if all expenses are paid).
Traveling, preparing and giving a talk is a huge time investment that I cannot spare.
I am laser-focused on writing and helping my readers. I believe working on the site is the most efficient way that I can help the most people.
"
aCan you comment on my StackOverflow question?,"Sorry, I don’t have the capacity to review and comment on your question posted to StackOverflow or the StackExchange network.
Perhaps you can summarise your specific problem in a sentence or two and ask me via the contact page.
"
aCan you explain this third party paper/code to me?,"Do you have a question about someone else’s:

Research paper?
Blog post?
Diagram?
Code?

I’m eager to help, but reading a paper (or someone else’s material) to the level required to then explain it to you requires a large amount of time and effort. I just don’t have the capacity to this for every request that I get.
My best advice is to contact the author and ask your questions directly.
I believe an honest academic will want their work read and understood.
If you prepare well (e.g. do your homework), if you’re courteous (e.g. humble, polite, and not demanding), and if you are clear with your questions (e.g. specific), I would expect a helpful response.
"
aCan you give me advice on machine learning research?,"Thanks for asking, I’m flattered.
I have some research degrees and I loved research then and love it now. But I don’t think I’m good at it.
In fact, I like reading and figuring out what others have learned perhaps more than devising my own research program. Perhaps I’m more engineer and scholar than academic researcher.
As such, I don’t feel qualified to give you advice on your research.
I recommend talking things over with your research advisor. After all, this is exactly their job, you chose them, and they chose you.
Also, very clever people have written up their advice.
I recommend reading:

Principles of Effective Research, Michael Nielsen, 2004.
An Opinionated Guide to ML Research, John Schulman, 2017.

Also these classics:

You and Your Research, Richard Hamming, 1986.
Pathological Science, Irving Langmuir, 1953.
Cargo Cult Science, Richard Feynman, 1974.
Why Most Published Research Findings Are False, John Ioannidis, 2005.

"
aCan you give me career advice?,"Sorry, I try hard not to give specific career advice.
My best advice on the topic of career is to follow a path that most interests and most excites you.
Life is short but the days are long. I think it is important to work on things that fully engage your interests.
"
aCan you help me get a job?,"Sorry, I cannot help you get a job directly.
But I have some advice.
I recommend that you focus your learning on how to work through predictive modeling probelms end-to-end, from problem definition to making predictions. I describe this process here:

Applied machine learning process

I recommend practicing this process with your chosen tools/libraries and develop a portfolio of completed machine learning projects. This portfolio can be used to demonstrate your growing skills and provide a code base that you can leverage on larger and more sophisticated projects.
You can learn more about developing a machine learning portfolio here:

Build a Machine Learning Portfolio

I recommend searching for a job in smaller companies and start-ups that value your ability to deliver results (demonstrated by your portfolio) over old-fashioned ways of hiring (e.g. having a degree on the topic).
"
aCan you help me setup or debug my development environment?,"I’m eager to help, but I just don’t have the capacity to help you setup or debug work workstation.
Also, I am not an expert in debugging workstations and development environments.
My material is generally intended for those that know their way around their own workstation and know how to install software.
Check these tutorials for setting up your environment:

How to Setup a Python Environment for Machine Learning and Deep Learning with Anaconda
How to Install a Python 3 Environment on Mac OS X for Machine Learning and Deep Learning
How to Create a Linux Virtual Machine For Machine Learning Development With Python 3

If you continue to have problems, consider posting your question and issue to StackOverflow.
"
aCan you help me use machine learning to predict the lottery?,"Sorry, I cannot help you develop a predictive model for the lottery.
The draw of numbers in a lottery are random events, by design.
A draw of random events cannot be predicted.
Even if you have a large dataset with hundreds or thousands of previous lottery draws.
"
aCan you help me with ___ on Windows?,"Sorry, I have not seen a windows machine in nearly 2 decades.
I don’t know a thing about windows.
In fact, I’m not an expert at debugging workstations.
I recommend posting your question or issue on stackoverflow.com.
"
aCan you help me with machine learning for the stock market?,"Sorry, I cannot help you with machine learning for predicting the stock market, foreign exchange, or bitcoin prices.
I do not have a background or interest in finance.
I’m really skeptical.
I understand that unless you are operating at the highest level, that you will be eaten for lunch by the fees, by other algorithms, or by people that are operating at the highest level.
To get an idea of how brilliant some of these mathematicians are that apply machine learning to the stock market, I recommend reading this book:

The Man Who Solved the Market, 2019.

I love this quote from a recent Freakonomics podcast, asking about people picking stocks:
It’s a tax on smart people who don’t realize their propensity for doing stupid things.
— Barry Ritholtz, The Stupidest Thing You Can Do With Your Money, 2017.
I also understand that short-range movements of security prices (stocks) are a random walk and that the best that you can do is to use a persistence model.
I love this quote from the book “A Random Walk Down Wall Street“:
A random walk is one in which future steps or directions cannot be predicted on the basis of past history. When the term is applied to the stock market, it means that short-run changes in stock prices are unpredictable.
— Page 26, A Random Walk down Wall Street: The Time-tested Strategy for Successful Investing, 2016.
You can discover more about random walks here:

A Gentle Introduction to the Random Walk for Times Series Forecasting with Python

But we can be rich!?!
I remain really skeptical.
Maybe you know more about forecasting in finance than I do, and I wish you the best of luck.
What about finance data for self-study?
There is a wealth of financial data available.
If you are thinking of using this data to learn machine learning, rather than making money, then this sounds like an excellent idea.
Much of the data in finance is in the form of a time series. I recommend getting started with time series forecasting here:

Get Started With Time Series Forecasting

"
aCan you help me with my homework or assignment?,"Generally, I recommend that you complete homework and assignments yourself.
You have chosen a course and (perhaps) have even paid money to take the course. You have chosen to invest in yourself via self-education.
In order to get the most out of this investment, you must do the work.
Also, you (may) have paid the teachers, lectures and support staff to teach you. Use that resource and ask for help and clarification about your homework or assignment from them. They work for you in some sense, and no one knows more about your homework or assignment and how it will be assed than them.
Nevertheless, if you are still struggling, perhaps you can boil your difficulty down to one sentence and contact me.
"
aCan you help me with my project?,"Thanks for asking.
Sorry, I cannot help you with your project.
I’m eager to help, but I don’t have the capacity to get involved in your project at the level you need or at a level to do a good job.
I’m sure you can understand my position, as I get many of requests to help with projects each day.
Nevertheless, I am happy to answer any specific questions you have about machine learning.
"
aCan you mentor or join my startup/company?,"That is very generous of you to ask, especially since we have never spoken or met.
No thank you.
I am laser focused on helping practitioners by writing tutorials and books.
"
